12.87.118.0 - - [20/Mar/2017:13:05:35 -0700] "GET /test.gif HTTP/1.1" 200 1883 "-" "Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.50 Safari/534.24"
219.146.119.21 - - [20/Mar/2017:13:05:35 -0700] "GET / HTTP/1.1" 200 1653 "-" "Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.50 Safari/534.24"
219.146.119.21 - - [20/Mar/2017:13:05:35 -0700] "GET / HTTP/1.1" 200 1071 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
211.167.224.138 - - [20/Mar/2017:13:05:35 -0700] "GET / HTTP/1.1" 404 2015 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:6.0a1) Gecko/20110421 Firefox/6.0a1"
147.162.64.145 - - [20/Mar/2017:13:05:35 -0700] "GET / HTTP/1.1" 200 1502 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:6.0a1) Gecko/20110421 Firefox/6.0a1"
219.146.119.21 - - [20/Mar/2017:13:05:35 -0700] "GET / HTTP/1.1" 200 626 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:6.0a1) Gecko/20110421 Firefox/6.0a1"
139.181.200.3 - - [20/Mar/2017:13:05:35 -0700] "GET / HTTP/1.1" 200 952 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:6.0a1) Gecko/20110421 Firefox/6.0a1"
147.162.64.145 - - [20/Mar/2017:13:05:35 -0700] "GET /services/nested_page.html HTTP/1.1" 200 2238 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:6.0a1) Gecko/20110421 Firefox/6.0a1"
138.218.158.104 - - [20/Mar/2017:13:05:35 -0700] "GET / HTTP/1.1" 200 1061 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
65.116.3.82 - - [20/Mar/2017:13:05:35 -0700] "GET /services.html HTTP/1.1" 200 300 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
222.65.133.155 - - [20/Mar/2017:13:05:35 -0700] "GET / HTTP/1.1" 200 321 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
95.195.105.188 - - [20/Mar/2017:13:05:35 -0700] "GET /services/nested_page.html HTTP/1.1" 200 1311 "-" "Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.50 Safari/534.24"
223.34.88.84 - - [20/Mar/2017:13:05:35 -0700] "GET /aboutus.html HTTP/1.1" 200 1337 "-" "Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.50 Safari/534.24"
95.195.105.188 - - [20/Mar/2017:13:05:35 -0700] "GET /test.png HTTP/1.1" 200 613 "-" "Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.50 Safari/534.24"
